Time,FP_RearLeft_Fx,FP_RearLeft_Fy,FP_RearLeft_Fz,
0.0101,1.06866e-11,-57.7632,0,
0.0202,1.06866e-11,-54.3608,0,
0.0303,1.06866e-11,-51.1587,0,
0.0404,1.06866e-11,-48.1452,0,
0.0505,1.06866e-11,-45.3092,0,
0.0606,1.06866e-11,-42.6402,0,
0.0707,1.06866e-11,-40.1283,0,
0.0808,1.06866e-11,-37.7644,0,
0.0909,1.06866e-11,-35.5397,0,
0.101,1.06866e-11,-33.446,0,
0.1111,1.06866e-11,-31.4756,0,
0.1212,1.06866e-11,-29.6213,0,
0.1313,1.06866e-11,-27.8761,0,
0.1414,1.06866e-11,-26.2338,0,
0.1515,1.06866e-11,-24.6881,0,
0.1616,1.06866e-11,-23.2335,0,
0.1717,1.06866e-11,-21.8645,0,
0.1818,1.06866e-11,-20.5762,0,
0.1919,1.06866e-11,-19.3637,0,
0.202,1.06866e-11,-18.2226,0,
0.2121,1.06866e-11,-17.1487,0,
0.2222,1.06866e-11,-16.1381,0,
0.2323,1.06866e-11,-15.187,0,
0.2424,1.06866e-11,-14.2919,0,
0.2525,1.06866e-11,-13.4495,0,
0.2626,1.06866e-11,-12.6567,0,
0.2727,1.06866e-11,-11.9106,0,
0.2828,1.06866e-11,-11.2085,0,
0.2929,1.06866e-11,-10.5477,0,
0.303,1.06866e-11,-9.92576,0,
0.3131,1.06866e-11,-9.34049,0,
0.3232,1.06866e-11,-8.78969,0,
0.3333,1.06866e-11,-8.27133,0,
0.3434,1.06866e-11,-7.78349,0,
0.3535,1.06866e-11,-7.32438,0,
0.3636,1.06866e-11,-6.89231,0,
0.3737,1.06866e-11,-6.48568,0,
0.3838,1.06866e-11,-6.103,0,
0.3939,1.06866e-11,-5.74285,0,
0.404,1.06866e-11,-5.40392,0,
0.4141,1.06866e-11,-5.08494,0,
0.4242,1.06866e-11,-4.78475,0,
0.4343,1.06866e-11,-4.50224,0,
0.4444,1.06866e-11,-4.23636,0,
0.4545,1.06866e-11,-3.98615,0,
0.4646,1.06866e-11,-3.75066,0,
0.4747,1.06866e-11,-3.52905,0,
0.4848,1.06866e-11,-3.32049,0,
0.4949,1.06866e-11,-3.12421,0,
0.505,1.06866e-11,-2.93948,0,
0.5151,1.06866e-11,-2.76564,0,
0.5252,1.06866e-11,-2.60203,0,
0.5353,1.06866e-11,-2.44806,0,
0.5454,1.06866e-11,-2.30316,0,
0.5555,1.06866e-11,-2.16679,0,
0.5656,1.06866e-11,-2.03845,0,
0.5757,1.06866e-11,-1.91767,0,
0.5858,1.06866e-11,-1.804,0,
0.5959,1.06866e-11,-1.69702,0,
0.606,1.06866e-11,-1.59635,0,
0.6161,1.06866e-11,-1.5016,0,
0.6262,1.06866e-11,-1.41244,0,
0.6363,1.06866e-11,-1.32852,0,
0.6464,1.06866e-11,-1.24955,0,
0.6565,1.06866e-11,-1.17523,0,
0.6666,1.06866e-11,-1.10528,0,
0.6767,1.06866e-11,-1.03945,0,
0.6868,1.06866e-11,-0.977504,0,
0.6969,1.06866e-11,-0.919202,0,
0.707,1.06866e-11,-0.864334,0,
0.7171,1.06866e-11,-0.812697,0,
0.7272,1.06866e-11,-0.764101,0,
0.7373,1.06866e-11,-0.718366,0,
0.7474,1.06866e-11,-0.675325,0,
0.7575,1.06866e-11,-0.634819,0,
0.7676,1.06866e-11,-0.596698,0,
0.7777,1.06866e-11,-0.560822,0,
0.7878,1.06866e-11,-0.527059,0,
0.7979,1.06866e-11,-0.495284,0,
0.808,1.06866e-11,-0.46538,0,
0.8181,1.06866e-11,-0.437238,0,
0.8282,1.06866e-11,-0.410752,0,
0.8383,1.06866e-11,-0.385827,0,
0.8484,1.06866e-11,-0.362369,0,
0.8585,13.6561,75.984,-2.41609,
0.8686,12.8519,71.51,-2.27381,
0.8787,12.095,67.2995,-2.1399,
0.8888,11.3827,63.3369,-2.01388,
0.8989,10.7124,59.6077,-1.89528,
0.909,8.70462,57.0926,-1.82406,
0.9191,6.15928,55.1412,-1.76908,
0.9292,4.29255,52.7721,-1.64401,
0.9393,2.44362,50.5704,-1.52614,
0.9494,1.33998,48.0851,-1.42893,
0.9595,0.218023,45.9475,-1.348,
0.9696,-0.505454,43.745,-1.28804,
0.9797,-1.24578,41.736,-1.26283,
0.9898,-1.608,39.6063,-1.22325,
0.9999,-1.94709,37.5661,-1.19117,
1.01,-2.26464,35.6575,-1.16411,
1.0201,-2.65309,33.9519,-1.15064,
1.0302,-3.06244,32.3962,-1.14585,
1.0403,-3.02137,30.5911,-1.09478,
1.0504,-3.46696,29.3242,-1.1305,
1.0605,-4.15425,28.5225,-1.38778,
1.0706,-3.44524,28.502,-1.96844,
1.0807,-2.37731,28.6005,-2.42713,
1.0908,-1.3344,28.7351,-2.86447,
1.1009,-0.672809,28.3644,-3.05735,
1.111,-0.8645,26.8583,-2.64391,
1.1211,-0.841263,25.2829,-2.42966,
1.1312,-0.79172,23.7947,-2.28658,
1.1413,-0.745096,22.3941,-2.15192,
1.1514,-0.701217,21.0761,-2.02519,
1.1615,-0.659922,19.8356,-1.90593,
1.1716,-0.621059,18.6682,-1.79369,
1.1817,-0.584484,17.5696,-1.68805,
1.1918,0.725619,18.3867,-1.96119,
1.2019,1.93981,19.2146,-2.21723,
1.212,3.08922,20.0072,-2.33562,
1.2221,4.19226,20.7199,-2.31261,
1.2322,4.9288,20.8819,-2.241,
1.2423,5.64936,21.0179,-2.16146,
1.2524,6.3022,21.1541,-2.15011,
1.2625,6.7756,21.2267,-2.1827,
1.2726,6.81355,20.9408,-2.07336,
1.2827,6.83138,20.6186,-1.96372,
1.2928,6.74901,20.2615,-1.84419,
1.3029,6.66581,19.879,-1.72987,
1.313,6.69055,19.678,-1.65144,
1.3231,6.62392,19.4047,-1.56319,
1.3332,6.55692,19.1434,-1.48286,
1.3433,6.48767,18.9276,-1.41458,
1.3534,6.39171,18.6644,-1.34114,
1.3635,6.3252,18.4599,-1.28346,
1.3736,6.23143,18.2185,-1.21872,
1.3837,6.16352,18.0082,-1.16482,
1.3938,6.11052,17.8193,-1.11634,
1.4039,6.04083,17.612,-1.06536,
1.414,5.99115,17.4357,-1.02061,
1.4241,5.93964,17.2609,-0.97411,
1.4342,5.89894,17.0946,-0.896205,
1.4443,5.87861,16.9552,-0.851378,
1.4544,5.85055,16.8514,-0.811235,
1.4645,5.61672,16.5872,-0.744121,
1.4746,5.46365,16.2912,-0.679866,
1.4847,5.5469,16.23,-0.644812,
1.4948,5.66986,16.1932,-0.619674,
1.5049,5.78171,16.173,-0.589437,
1.515,5.93225,16.1823,-0.568362,
1.5251,6.05848,16.1693,-0.54075,
1.5352,6.21431,16.1906,-0.516375,
1.5453,6.35247,16.197,-0.488236,
1.5554,6.48673,16.203,-0.460339,
1.5655,6.59594,16.1841,-0.428446,
1.5756,6.70722,16.1691,-0.400699,
1.5857,6.8626,16.2234,-0.389419,
1.5958,6.93273,16.1904,-0.357042,
1.6059,7.01596,16.1933,-0.334017,
1.616,7.05741,16.1643,-0.306609,
1.6261,7.15069,16.2078,-0.292101,
1.6362,7.18254,16.1979,-0.275984,
1.6463,7.19609,16.1724,-0.255819,
1.6564,7.22289,16.1885,-0.243351,
1.6665,7.22369,16.1593,-0.227313,
1.6766,7.23844,16.1738,-0.218772,
1.6867,7.18077,16.1195,-0.201705,
1.6968,7.15483,16.0987,-0.191243,
1.7069,7.10591,16.0767,-0.184478,
1.717,6.96124,15.9807,-0.162643,
1.7271,6.84754,15.9164,-0.147687,
1.7372,6.69398,15.8053,-0.12352,
1.7473,6.61181,15.7573,-0.114798,
1.7574,6.50878,15.6894,-0.102368,
1.7675,6.44601,15.6366,-0.0985476,
1.7776,6.3487,15.575,-0.0903011,
1.7877,6.27674,15.5009,-0.082305,
1.7978,6.28706,15.5151,-0.0901274,
1.8079,6.25184,15.4686,-0.0844383,
1.818,6.25599,15.4569,-0.0874782,
1.8281,6.2401,15.4325,-0.0844308,
1.8382,6.23189,15.3807,-0.0772507,
1.8483,6.26917,15.3942,-0.0807372,
1.8584,6.28649,15.3759,-0.0773739,
1.8685,6.30859,15.3526,-0.0695514,
1.8786,6.3566,15.3457,-0.0658933,
1.8887,6.44529,15.3873,-0.0705817,
1.8988,6.5328,15.4128,-0.0729811,
1.9089,6.61731,15.4426,-0.0733626,
1.919,6.69964,15.4693,-0.0732191,
1.9291,6.77932,15.4895,-0.0696034,
1.9392,6.86736,15.5232,-0.0670904,
1.9493,6.95879,15.5668,-0.0639112,
1.9594,7.03315,15.6023,-0.0617863,
1.9695,7.06655,15.5968,-0.0517611,
1.9796,7.12329,15.618,-0.0444316,
1.9897,7.13637,15.6123,-0.0368875,
1.9998,7.14017,15.5859,-0.0271649,
2.0099,7.18712,15.6261,-0.0271257,
2.02,7.19125,15.6271,-0.0225964,
2.0301,7.21928,15.6556,-0.0208085,
2.0402,7.24684,15.6942,-0.0232349,
2.0503,7.22459,15.6894,-0.0166667,
2.0604,7.21539,15.6927,-0.0157435,
2.0705,7.17407,15.6799,-0.0113569,
2.0806,7.15489,15.6936,-0.0134047,
2.0907,7.10761,15.6828,-0.0126916,
2.1008,7.02843,15.6634,-0.00838172,
2.1109,6.90575,15.6056,0.00191087,
2.121,6.78115,15.5272,0.0150373,
2.1311,6.69295,15.4881,0.0205292,
2.1412,6.61884,15.4377,0.0228788,
2.1513,6.57242,15.4229,0.019973,
2.1614,6.52953,15.3923,0.0176714,
2.1715,6.52551,15.4023,0.00825103,
2.1816,6.48658,15.3815,0.00811686,
2.1917,6.48139,15.3694,0.00405334,
2.2018,6.46389,15.3598,0.00257123,
2.2119,6.44822,15.3361,0.00251999,
2.222,6.48159,15.3521,-0.0059939,
2.2321,6.45847,15.3187,-0.000932504,
2.2422,6.47374,15.2998,0.000216242,
2.2523,6.51833,15.3214,-0.00406582,
2.2624,6.55986,15.3275,-0.00478995,
2.2725,6.63314,15.3652,-0.011809,
2.2826,6.67714,15.3787,-0.0136484,
2.2927,6.71838,15.3824,-0.0123978,
2.3028,6.75047,15.3652,-0.0101328,
2.3129,6.7868,15.372,-0.0078974,
2.323,6.84502,15.3918,-0.0100943,
2.3331,6.91047,15.425,-0.010871,
2.3432,6.96957,15.4632,-0.0124709,
2.3533,7.00777,15.4698,-0.00988317,
2.3634,7.07904,15.5164,-0.0129448,
2.3735,7.11072,15.5358,-0.0127582,
2.3836,7.14987,15.5515,-0.0132418,
2.3937,7.17824,15.5831,-0.0126104,
2.4038,7.18676,15.5869,-0.0096077,
2.4139,7.18879,15.605,-0.0074094,
2.424,7.19318,15.6241,-0.00689492,
2.4341,7.19057,15.6373,-0.00600186,
2.4442,7.14291,15.6148,0.000885223,
2.4543,7.07945,15.5743,0.00955844,
2.4644,7.03979,15.5523,0.0137814,
2.4745,7.02106,15.56,0.0114343,
2.4846,6.97708,15.5499,0.0127153,
2.4947,6.94989,15.5523,0.0103979,
2.5048,6.90886,15.5432,0.00972271,
2.5149,6.84404,15.5041,0.0142194,
2.525,6.81001,15.489,0.0113926,
2.5351,6.7692,15.4788,0.0083245,
2.5452,6.72615,15.4483,0.00862056,
2.5553,6.703,15.4406,0.00665946,
2.5654,6.67876,15.4305,0.00442411,
2.5755,6.62849,15.3828,0.0115821,
2.5856,6.61687,15.3672,0.0085478,
2.5957,6.59433,15.3423,0.00955035,
2.6058,6.59986,15.3416,0.00634614,
2.6159,6.59947,15.3274,0.00729308,
2.626,6.6166,15.328,0.00717773,
2.6361,6.63545,15.3281,0.00655625,
2.6462,6.67077,15.3319,0.00452259,
2.6563,6.72324,15.3627,-0.00200756,
2.6664,6.76135,15.3695,-0.00448456,
2.6765,6.79565,15.3785,-0.00426785,
2.6866,6.83271,15.3856,-0.00413518,
2.6967,6.87511,15.4029,-0.00411837,
2.7068,6.9128,15.4131,-0.00428718,
2.7169,6.95749,15.4369,-0.00519906,
2.727,6.99919,15.4618,-0.00682519,
2.7371,7.01823,15.4603,-0.00382884,
2.7472,7.05583,15.4831,-0.00349679,
2.7573,7.08993,15.5074,-0.00460454,
2.7674,7.09044,15.4982,0.000817477,
2.7775,7.13292,15.5393,-0.00359391,
2.7876,7.13335,15.5443,-0.00127266,
2.7977,7.1496,15.5676,-0.00273716,
2.8078,7.13142,15.5637,0.00132876,
2.8179,7.13527,15.5807,0.00163863,
2.828,7.1004,15.5651,0.00646932,
2.8381,7.07726,15.5604,0.00864406,
2.8482,7.03729,15.5433,0.0115601,
2.8583,6.99862,15.5255,0.0135592,
2.8684,6.96017,15.5112,0.0157123,
2.8785,6.94234,15.518,0.012984,
2.8886,6.89504,15.4949,0.0161211,
2.8987,6.85378,15.4711,0.0182022,
2.9088,6.82718,15.4621,0.0147928,
2.9189,6.79572,15.4502,0.0145301,
2.929,6.77413,15.44,0.0107826,
2.9391,6.73877,15.4178,0.013198,
2.9492,6.70204,15.391,0.0162567,
2.9593,6.68747,15.377,0.0160614,
2.9694,6.6892,15.3856,0.0114128,
2.9795,6.66582,15.3567,0.0143629,
2.9896,6.67698,15.3589,0.0103069,
2.9997,6.66453,15.341,0.0135952,
3.0098,6.68235,15.3386,0.0122066,
3.0199,6.7091,15.3475,0.00896493,
3.03,6.71176,15.331,0.0122129,
3.0401,6.76744,15.3688,0.00400633,
3.0502,6.77931,15.362,0.00566582,
3.0603,6.82386,15.3839,0.00381128,
3.0704,6.86228,15.4031,0.000512484,
3.0805,6.88817,15.4056,0.00300278,
3.0906,6.92466,15.4254,0.000690197,
3.1007,6.93351,15.4141,0.00467952,
3.1108,6.97026,15.4355,0.00294731,
3.1209,6.99535,15.4475,0.00331873,
3.131,7.03049,15.4734,0.00266682,
3.1411,7.04341,15.482,0.00397062,
3.1512,7.05325,15.4828,0.00676904,
3.1613,7.0822,15.5135,0.00338401,
3.1714,7.07623,15.505,0.0065641,
3.1815,7.0903,15.5279,0.00431709,
3.1916,7.06065,15.5066,0.0103392,
3.2017,7.06275,15.5178,0.0110721,
3.2118,7.04538,15.5172,0.0125748,
3.2219,7.02681,15.5153,0.0138334,
3.232,7.00187,15.5125,0.0144238,
3.2421,6.97302,15.4981,0.0162107,
3.2522,6.94612,15.4898,0.0171873,
3.2623,6.91352,15.474,0.0189865,
3.2724,6.88391,15.4595,0.0194496,
3.2825,6.85179,15.4444,0.0208811,
3.2926,6.82567,15.431,0.0199959,
3.3027,6.81505,15.435,0.0166368,
3.3128,6.79652,15.4303,0.0148103,
3.3229,6.7691,15.4113,0.0170428,
3.333,6.74819,15.3951,0.0174006,
3.3431,6.72012,15.3663,0.0206301,
