Time,FP_FrontLeft_Fx,FP_FrontLeft_Fy,FP_FrontLeft_Fz,
0.0101,-1.06866e-11,-57.7632,0,
0.0202,-1.06866e-11,-54.3608,0,
0.0303,-1.06866e-11,-51.1587,0,
0.0404,-1.06866e-11,-48.1452,0,
0.0505,-1.06866e-11,-45.3092,0,
0.0606,-1.06866e-11,-42.6402,0,
0.0707,-1.06866e-11,-40.1283,0,
0.0808,-1.06866e-11,-37.7644,0,
0.0909,-1.06866e-11,-35.5397,0,
0.101,-1.06866e-11,-33.446,0,
0.1111,-1.06866e-11,-31.4756,0,
0.1212,-1.06866e-11,-29.6213,0,
0.1313,-1.06866e-11,-27.8761,0,
0.1414,-1.06866e-11,-26.2338,0,
0.1515,-1.06866e-11,-24.6881,0,
0.1616,-1.06866e-11,-23.2335,0,
0.1717,-1.06866e-11,-21.8645,0,
0.1818,-1.06866e-11,-20.5762,0,
0.1919,-1.06866e-11,-19.3637,0,
0.202,-1.06866e-11,-18.2226,0,
0.2121,-1.06866e-11,-17.1487,0,
0.2222,-1.06866e-11,-16.1381,0,
0.2323,-1.06866e-11,-15.187,0,
0.2424,-1.06866e-11,-14.2919,0,
0.2525,-1.06866e-11,-13.4495,0,
0.2626,-1.06866e-11,-12.6567,0,
0.2727,-1.06866e-11,-11.9106,0,
0.2828,-1.06866e-11,-11.2085,0,
0.2929,-1.06866e-11,-10.5477,0,
0.303,-1.06866e-11,-9.92576,0,
0.3131,-1.06866e-11,-9.34049,0,
0.3232,-1.06866e-11,-8.78969,0,
0.3333,-1.06866e-11,-8.27133,0,
0.3434,-1.06866e-11,-7.78349,0,
0.3535,0,-7.32438,0,
0.3636,0,-6.89231,0,
0.3737,0,-6.48568,0,
0.3838,0,-6.103,0,
0.3939,0,-5.74285,0,
0.404,0,-5.40392,0,
0.4141,0,-5.08494,0,
0.4242,0,-4.78475,0,
0.4343,0,-4.50224,0,
0.4444,0,-4.23636,0,
0.4545,0,-3.98615,0,
0.4646,0,-3.75066,0,
0.4747,0,-3.52905,0,
0.4848,0,-3.32049,0,
0.4949,0,-3.12421,0,
0.505,0,-2.93948,0,
0.5151,0,-2.76564,0,
0.5252,0,-2.60203,0,
0.5353,0,-2.44806,0,
0.5454,0,-2.30316,0,
0.5555,0,-2.16679,0,
0.5656,0,-2.03845,0,
0.5757,0,-1.91767,0,
0.5858,0,-1.804,0,
0.5959,0,-1.69702,0,
0.606,0,-1.59635,0,
0.6161,0,-1.5016,0,
0.6262,0,-1.41244,0,
0.6363,0,-1.32852,0,
0.6464,0,-1.24955,0,
0.6565,0,-1.17523,0,
0.6666,0,-1.10528,0,
0.6767,0,-1.03945,0,
0.6868,0,-0.977504,0,
0.6969,0,-0.919202,0,
0.707,0,-0.864334,0,
0.7171,0,-0.812697,0,
0.7272,0,-0.764101,0,
0.7373,0,-0.718366,0,
0.7474,0,-0.675325,0,
0.7575,0,-0.634819,0,
0.7676,0,-0.596698,0,
0.7777,0,-0.560822,0,
0.7878,0,-0.527059,0,
0.7979,0,-0.495284,0,
0.808,0,-0.46538,0,
0.8181,0,-0.437238,0,
0.8282,0,-0.410752,0,
0.8383,0,-0.385827,0,
0.8484,11.6788,62.4944,5.13355,
0.8585,3.03274,96.7116,-7.46193,
0.8686,0.75564,96.0057,-9.54866,
0.8787,-2.56298,97.9865,-10.8475,
0.8888,-2.89103,94.8073,-10.9717,
0.8989,-2.67144,90.6012,-9.91704,
0.909,-2.53724,85.3193,-9.2754,
0.9191,-2.38782,80.2955,-8.72916,
0.9292,-2.2472,75.5676,-8.2151,
0.9393,-2.11486,71.1181,-7.73131,
0.9494,-1.99032,66.9307,-7.27601,
0.9595,-1.87311,62.9899,-6.84752,
0.9696,-1.7628,59.2811,-6.44427,
0.9797,-1.65899,55.7907,-6.06476,
0.9898,-1.56129,52.5059,-5.70761,
0.9999,-1.46934,49.4146,-5.37148,
1.01,-1.38281,46.5053,-5.05515,
1.0201,-1.30138,43.7673,-4.75745,
1.0302,-1.22474,41.1905,-4.47728,
1.0403,-1.15261,38.7655,-4.21361,
1.0504,-1.08474,36.4834,-3.96547,
1.0605,-1.02085,34.3356,-3.73194,
1.0706,-0.960736,32.3143,-3.51217,
1.0807,-0.904158,30.412,-3.30533,
1.0908,-0.850912,28.6218,-3.11068,
1.1009,-0.800801,26.9369,-2.92749,
1.111,-0.753642,25.3514,-2.75509,
1.1211,-0.709259,23.8591,-2.59284,
1.1312,-0.667491,22.4548,-2.44015,
1.1413,-0.628182,21.1332,-2.29645,
1.1514,0.636297,24.867,-4.21837,
1.1615,0.326702,25.4425,-4.71392,
1.1716,0.0812091,26.1118,-5.0066,
1.1817,-0.142975,26.7678,-5.22885,
1.1918,0.173996,26.9748,-5.01302,
1.2019,0.586006,26.9508,-4.76348,
1.212,0.701358,26.581,-4.51993,
1.2221,0.815565,26.213,-4.28507,
1.2322,0.906712,25.8823,-4.02441,
1.2423,0.980039,25.5864,-3.76417,
1.2524,1.03621,25.3425,-3.50509,
1.2625,1.13309,25.0543,-3.27074,
1.2726,1.26224,24.637,-3.07936,
1.2827,1.40609,24.1517,-2.84378,
1.2928,1.53601,23.6175,-2.58704,
1.3029,1.66766,23.0403,-2.31976,
1.313,1.79508,22.4448,-2.04174,
1.3231,1.90324,21.8513,-1.77386,
1.3332,1.97417,21.2899,-1.54331,
1.3433,2.0366,20.7275,-1.30535,
1.3534,2.08669,20.188,-1.0828,
1.3635,2.12603,19.6735,-0.873875,
1.3736,2.1544,19.1934,-0.704658,
1.3837,2.16882,18.7422,-0.549144,
1.3938,2.1731,18.3177,-0.405322,
1.4039,2.18161,17.9103,-0.27933,
1.414,2.18017,17.5252,-0.177798,
1.4241,2.18315,17.1605,-0.0691326,
1.4342,2.18434,16.7731,0.0530876,
1.4443,2.19537,16.3944,0.190472,
1.4544,2.19895,16.061,0.303538,
1.4645,2.19195,15.7919,0.391219,
1.4746,2.17037,15.5534,0.463043,
1.4847,2.13891,15.347,0.528287,
1.4948,2.09055,15.1753,0.582703,
1.5049,2.03452,15.0556,0.611212,
1.515,1.96703,14.9605,0.635912,
1.5251,1.89038,14.9079,0.651255,
1.5352,1.8001,14.9109,0.661435,
1.5453,1.71012,14.9468,0.671213,
1.5554,1.62155,14.9845,0.684261,
1.5655,1.53854,15.0466,0.697095,
1.5756,1.46151,15.0998,0.713225,
1.5857,1.38787,15.1594,0.730507,
1.5958,1.31626,15.2295,0.74879,
1.6059,1.25471,15.2922,0.767854,
1.616,1.19706,15.3496,0.788286,
1.6261,1.15369,15.3882,0.807995,
1.6362,1.12105,15.3874,0.835257,
1.6463,1.10236,15.3715,0.861779,
1.6564,1.0911,15.3465,0.885883,
1.6665,1.08555,15.3048,0.907971,
1.6766,1.08505,15.2358,0.933886,
1.6867,1.09169,15.1507,0.95947,
1.6968,1.09827,15.0469,0.986829,
1.7069,1.10573,14.9405,1.01653,
1.717,1.10811,14.8289,1.0455,
1.7271,1.11111,14.737,1.06125,
1.7372,1.10263,14.6451,1.07765,
1.7473,1.09239,14.5737,1.08769,
1.7574,1.08511,14.4868,1.10195,
1.7675,1.07927,14.4131,1.11846,
1.7776,1.06715,14.3521,1.13293,
1.7877,1.06242,14.3111,1.14028,
1.7978,1.05935,14.2641,1.14897,
1.8079,1.05504,14.2301,1.15773,
1.818,1.04863,14.2056,1.16587,
1.8281,1.05244,14.1755,1.17643,
1.8382,1.05462,14.1419,1.19404,
1.8483,1.04882,14.1214,1.20644,
1.8584,1.03944,14.114,1.21542,
1.8685,1.032,14.1079,1.22745,
1.8786,1.01878,14.0979,1.24183,
1.8887,1.00908,14.083,1.25572,
1.8988,0.997598,14.072,1.2721,
1.9089,0.984623,14.0675,1.28663,
1.919,0.975658,14.0564,1.2989,
1.9291,0.968897,14.053,1.30802,
1.9392,0.957388,14.0527,1.31598,
1.9493,0.949636,14.0396,1.32556,
1.9594,0.941332,14.017,1.33805,
1.9695,0.929513,14.0153,1.34295,
1.9796,0.913826,14.0215,1.3477,
1.9897,0.903225,14.0209,1.35259,
1.9998,0.886278,14.0233,1.3578,
2.0099,0.869801,14.0283,1.36357,
2.02,0.853399,14.0215,1.37444,
2.0301,0.841524,14.0223,1.38261,
2.0402,0.825056,14.0299,1.39032,
2.0503,0.810388,14.037,1.39706,
2.0604,0.798726,14.0382,1.40343,
2.0705,0.790232,14.0334,1.4128,
2.0806,0.7819,14.0176,1.42499,
2.0907,0.778119,14.0107,1.43211,
2.1008,0.769516,14.0014,1.4409,
2.1109,0.760425,13.9988,1.44704,
2.121,0.748548,13.9931,1.45179,
2.1311,0.732735,14,1.45367,
2.1412,0.718585,13.9949,1.45952,
2.1513,0.704829,13.9958,1.46486,
2.1614,0.683916,14.0097,1.46793,
2.1715,0.660702,14.0316,1.4703,
2.1816,0.640509,14.0531,1.47364,
2.1917,0.621408,14.0787,1.47705,
2.2018,0.598314,14.0975,1.482,
2.2119,0.584071,14.1154,1.48665,
2.222,0.570401,14.1314,1.49369,
2.2321,0.556336,14.1474,1.49931,
2.2422,0.545882,14.165,1.50299,
2.2523,0.538287,14.1799,1.50694,
2.2624,0.5278,14.1839,1.51422,
2.2725,0.520721,14.1851,1.51851,
2.2826,0.510752,14.1894,1.52097,
2.2927,0.496786,14.1961,1.5241,
2.3028,0.481756,14.1965,1.52632,
2.3129,0.467739,14.2094,1.52572,
2.323,0.45033,14.2218,1.52769,
2.3331,0.436713,14.23,1.53218,
2.3432,0.426533,14.2374,1.53655,
2.3533,0.415309,14.2565,1.53756,
2.3634,0.40352,14.2681,1.53913,
2.3735,0.400952,14.2697,1.54071,
2.3836,0.396624,14.2718,1.54321,
2.3937,0.393695,14.2713,1.5459,
2.4038,0.397232,14.2577,1.5501,
2.4139,0.402834,14.246,1.55344,
2.424,0.40092,14.2349,1.5569,
2.4341,0.400283,14.2281,1.55607,
2.4442,0.399538,14.2257,1.55472,
2.4543,0.398623,14.2241,1.55556,
2.4644,0.398497,14.213,1.55627,
2.4745,0.40045,14.2086,1.555,
2.4846,0.398666,14.2024,1.5563,
2.4947,0.400501,14.194,1.55565,
2.5048,0.400222,14.1896,1.55467,
2.5149,0.399626,14.1926,1.55241,
2.525,0.401167,14.1851,1.5526,
2.5351,0.408141,14.1724,1.55377,
2.5452,0.411526,14.1658,1.55363,
2.5553,0.41812,14.1578,1.55131,
2.5654,0.4272,14.1377,1.55177,
2.5755,0.436956,14.1219,1.55144,
2.5856,0.443341,14.1079,1.55062,
2.5957,0.453628,14.0897,1.54971,
2.6058,0.460204,14.0699,1.55077,
2.6159,0.463931,14.0598,1.54997,
2.626,0.466057,14.051,1.5476,
2.6361,0.469079,14.048,1.54358,
2.6462,0.467573,14.0422,1.54398,
2.6563,0.469839,14.0351,1.5434,
2.6664,0.47084,14.0283,1.54177,
2.6765,0.470324,14.0272,1.54142,
2.6866,0.470829,14.0219,1.54158,
2.6967,0.474345,14.0189,1.53858,
2.7068,0.474034,14.0185,1.53683,
2.7169,0.476962,14.0103,1.53765,
2.727,0.48084,13.9949,1.53945,
2.7371,0.482874,13.9932,1.53784,
2.7472,0.479491,13.991,1.53789,
2.7573,0.478669,13.9895,1.53666,
2.7674,0.475434,13.9906,1.53458,
2.7775,0.469751,13.9964,1.53377,
2.7876,0.464499,13.9927,1.53435,
2.7977,0.461307,13.9945,1.53365,
2.8078,0.451787,13.9989,1.53517,
2.8179,0.443012,14.0084,1.53398,
2.828,0.433049,14.0183,1.53294,
2.8381,0.422186,14.0321,1.53428,
2.8482,0.411438,14.0395,1.53538,
2.8583,0.403204,14.0478,1.53645,
2.8684,0.394026,14.0566,1.53852,
2.8785,0.386832,14.0605,1.53963,
2.8886,0.380423,14.0655,1.54092,
2.8987,0.373807,14.0733,1.54221,
2.9088,0.363725,14.0804,1.54416,
2.9189,0.358009,14.0814,1.54714,
2.929,0.346541,14.0893,1.54867,
2.9391,0.333905,14.1085,1.54774,
2.9492,0.320237,14.1182,1.54834,
2.9593,0.308676,14.1327,1.54717,
2.9694,0.294631,14.1443,1.54808,
2.9795,0.282212,14.1526,1.55025,
2.9896,0.272897,14.1597,1.55235,
2.9997,0.263059,14.1755,1.5536,
3.0098,0.24996,14.1877,1.55537,
3.0199,0.241556,14.1995,1.5545,
3.03,0.232643,14.2088,1.55579,
3.0401,0.225373,14.2109,1.55923,
3.0502,0.220042,14.2117,1.5606,
3.0603,0.217055,14.2187,1.56089,
3.0704,0.21077,14.2192,1.56425,
3.0805,0.207003,14.2191,1.56422,
3.0906,0.202987,14.2237,1.56272,
3.1007,0.1977,14.2242,1.5642,
3.1108,0.192327,14.2127,1.56578,
3.1209,0.189831,14.2136,1.56461,
3.131,0.183447,14.2203,1.5641,
3.1411,0.179157,14.2248,1.56325,
3.1512,0.176285,14.2249,1.56271,
3.1613,0.173463,14.2302,1.5629,
3.1714,0.171503,14.227,1.56255,
3.1815,0.174198,14.2199,1.56272,
3.1916,0.176354,14.215,1.56278,
3.2017,0.178559,14.211,1.56111,
3.2118,0.182645,14.2004,1.56015,
3.2219,0.188966,14.1885,1.55905,
3.232,0.190561,14.1759,1.5603,
3.2421,0.194455,14.1662,1.55881,
3.2522,0.198589,14.1575,1.5563,
3.2623,0.201623,14.1515,1.5546,
3.2724,0.203032,14.1396,1.55378,
3.2825,0.20833,14.1317,1.54989,
3.2926,0.211631,14.1225,1.54929,
3.3027,0.21616,14.1089,1.55011,
3.3128,0.219744,14.0975,1.54881,
3.3229,0.222777,14.0983,1.54518,
3.333,0.222692,14.0908,1.54525,
3.3431,0.227309,14.0833,1.5445,
3.3532,0.231495,14.0758,1.54202,
3.3633,0.234948,14.0689,1.54169,
3.3734,0.239687,14.0517,1.54248,
3.3835,0.247095,14.0422,1.54022,
3.3936,0.2495,14.0367,1.53835,
3.4037,0.251512,14.029,1.53697,
3.4138,0.253948,14.0186,1.53586,
3.4239,0.256138,14.0177,1.5337,
3.434,0.253784,14.0139,1.53399,
3.4441,0.252373,14.0117,1.53164,
3.4542,0.250294,14.0124,1.52976,
3.4643,0.24739,14.014,1.52987,
3.4744,0.243206,14.0143,1.52833,
3.4845,0.241902,14.0181,1.52664,
3.4946,0.236686,14.016,1.5287,
3.5047,0.233679,14.015,1.52852,
3.5148,0.231065,14.018,1.52726,
3.5249,0.226314,14.0241,1.52741,
3.535,0.220731,14.0247,1.52798,
3.5451,0.218549,14.026,1.52752,
3.5552,0.212353,14.0312,1.52845,
3.5653,0.205475,14.0365,1.5288,
3.5754,0.198139,14.0368,1.52959,
3.5855,0.192021,14.0444,1.52809,
