Time,FP_FrontRight_Fx,FP_FrontRight_Fy,FP_FrontRight_Fz,
0.0101,-3.52429e-12,-51.362,7.10543e-12,
0.0202,-3.52429e-12,-41.6954,7.10543e-12,
0.0303,-3.52429e-12,-33.8457,7.10543e-12,
0.0404,-3.52429e-12,-27.4733,7.10543e-12,
0.0505,-3.52429e-12,-22.3003,7.10543e-12,
0.0606,-3.52429e-12,-18.1008,7.10543e-12,
0.0707,-3.52429e-12,-14.6918,7.10543e-12,
0.0808,-3.52429e-12,-11.9243,7.10543e-12,
0.0909,-3.52429e-12,-9.67772,7.10543e-12,
0.101,-3.52429e-12,-7.85394,7.10543e-12,
0.1111,-3.52429e-12,-6.37342,7.10543e-12,
0.1212,-3.52429e-12,-5.17154,7.10543e-12,
0.1313,-3.52429e-12,-4.19587,7.10543e-12,
0.1414,-3.52429e-12,-3.40382,7.10543e-12,
0.1515,-3.52429e-12,-2.76084,7.10543e-12,
0.1616,-3.52429e-12,-2.23888,7.10543e-12,
0.1717,-3.52429e-12,-1.81515,7.10543e-12,
0.1818,-3.52429e-12,-1.47117,7.10543e-12,
0.1919,-3.52429e-12,-1.19194,7.10543e-12,
0.202,-3.52429e-12,-0.965251,7.10543e-12,
0.2121,-3.52429e-12,-0.781231,7.10543e-12,
0.2222,-3.52429e-12,-0.631845,7.10543e-12,
0.2323,-3.52429e-12,-0.510574,7.10543e-12,
0.2424,-3.52429e-12,-0.412128,7.10543e-12,
0.2525,-3.52429e-12,-0.33221,7.10543e-12,
0.2626,-3.52429e-12,-0.267333,7.10543e-12,
0.2727,-3.52429e-12,-0.214666,7.10543e-12,
0.2828,-3.52429e-12,-0.171912,7.10543e-12,
0.2929,-3.52429e-12,-0.137204,7.10543e-12,
0.303,-3.52429e-12,-0.109029,7.10543e-12,
0.3131,-3.52429e-12,-0.086156,7.10543e-12,
0.3232,-3.52429e-12,-0.0675882,7.10543e-12,
0.3333,-3.52429e-12,-0.052515,7.10543e-12,
