Time,FP_RearLeft_Fx,FP_RearLeft_Fy,FP_RearLeft_Fz,
0.0101,1.06866e-11,-887.947,0,
0.0202,1.06866e-11,-650.52,0,
0.0303,1.06866e-11,-338.309,0,
0.0404,1.06866e-11,-21.757,0,
0.0505,1.06866e-11,240.799,0,
0.0606,1.06866e-11,411.516,0,
0.0707,1.06866e-11,476.176,0,
0.0808,1.06866e-11,442.44,0,
0.0909,1.06866e-11,334.454,0,
0.101,1.06866e-11,185.441,0,
0.1111,1.06866e-11,29.9986,0,
0.1212,1.06866e-11,-102.44,0,
0.1313,1.06866e-11,-192.012,0,
0.1414,1.06866e-11,-230.282,0,
0.1515,1.06866e-11,-219.686,0,
0.1616,1.06866e-11,-171.095,0,
0.1717,1.06866e-11,-100.299,0,
0.1818,1.06866e-11,-24.2315,0,
0.1919,1.06866e-11,42.3153,0,
0.202,1.06866e-11,88.9873,0,
0.2121,1.06866e-11,110.939,0,
0.2222,1.06866e-11,108.706,0,
0.2323,1.06866e-11,87.1212,0,
0.2424,1.06866e-11,53.6513,0,
0.2525,1.06866e-11,16.5561,0,
0.2626,1.06866e-11,-16.7576,0,
0.2727,1.06866e-11,-40.9264,0,
0.2828,1.06866e-11,-53.2311,0,
0.2929,1.06866e-11,-53.6069,0,
0.303,1.06866e-11,-44.1694,0,
0.3131,1.06866e-11,-28.4305,0,
0.3232,1.06866e-11,-10.405,0,
0.3333,1.06866e-11,6.21202,0,
0.3434,5.89912,101.737,-0.00529826,
0.3535,11.0805,175.561,-0.025688,
0.3636,14.3922,208.149,-0.0403192,
0.3737,15.7902,200.808,-0.0436055,
0.3838,15.5036,162.606,-0.0254832,
0.3939,13.7715,105.963,0.0674616,
0.404,10.6071,43.7903,0.168025,
0.4141,6.6139,-11.9908,0.228121,
0.4242,2.36631,-52.1949,0.247395,
0.4343,-1.62479,-72.3418,0.23289,
0.4444,-4.92257,-73.0271,0.193671,
0.4545,-7.24942,-58.2139,0.138257,
0.4646,-8.56886,-32.878,0.0748115,
0.4747,-8.95412,-3.11114,0.0128265,
0.4848,-8.50199,24.433,-0.0402724,
