Time,FP_FrontLeft_Fx,FP_FrontLeft_Fy,FP_FrontLeft_Fz,
0.0101,-1.06866e-11,-27.2472,0,
0.0202,-1.06866e-11,26.6254,0,
0.0303,-1.06866e-11,80.2608,0,
0.0404,-1.06866e-11,131.065,0,
0.0505,-1.06866e-11,178.848,0,
0.0606,-1.06866e-11,223.743,0,
0.0707,-1.06866e-11,265.919,0,
0.0808,-1.06866e-11,305.539,0,
0.0909,-1.06866e-11,342.758,0,
0.101,-1.06866e-11,377.721,0,
0.1111,-1.06866e-11,410.566,0,
0.1212,-1.06866e-11,441.42,0,
0.1313,-1.06866e-11,470.405,0,
0.1414,-1.06866e-11,497.633,0,
0.1515,-1.06866e-11,523.211,0,
0.1616,-1.06866e-11,547.238,0,
0.1717,-1.06866e-11,569.81,0,
0.1818,-1.06866e-11,591.014,0,
0.1919,-1.06866e-11,610.933,0,
0.202,-1.06866e-11,629.644,0,
0.2121,-1.06866e-11,647.222,0,
0.2222,-1.06866e-11,663.735,0,
0.2323,-1.06866e-11,679.247,0,
0.2424,-1.06866e-11,693.818,0,
0.2525,-1.06866e-11,707.507,0,
0.2626,-1.06866e-11,720.366,0,
0.2727,-1.06866e-11,732.446,0,
0.2828,-1.06866e-11,743.794,0,
0.2929,-1.06866e-11,754.454,0,
0.303,-1.06866e-11,764.468,0,
0.3131,-1.06866e-11,773.876,0,
0.3232,-1.06866e-11,782.713,0,
0.3333,-1.06866e-11,791.014,0,
0.3434,-1.06866e-11,798.813,0,
0.3535,-1.06866e-11,806.139,0,
0.3636,-1.06866e-11,813.021,0,
0.3737,-1.06866e-11,819.486,0,
0.3838,-1.06866e-11,825.559,0,
0.3939,-1.06866e-11,831.264,0,
0.404,-1.06866e-11,836.623,0,
0.4141,-1.06866e-11,841.658,0,
0.4242,-1.06866e-11,846.387,0,
0.4343,-1.06866e-11,850.83,0,
0.4444,-1.06866e-11,855.004,0,
0.4545,-1.06866e-11,858.924,0,
0.4646,-1.06866e-11,862.608,0,
0.4747,-1.06866e-11,866.067,0,
0.4848,-1.06866e-11,869.318,0,
0.4949,-1.06866e-11,872.371,0,
0.505,-1.06866e-11,875.239,0,
0.5151,-1.06866e-11,877.933,0,
0.5252,-1.06866e-11,880.465,0,
0.5353,-1.06866e-11,882.842,0,
0.5454,-1.06866e-11,885.076,0,
0.5555,-1.06866e-11,887.174,0,
0.5656,-1.06866e-11,889.145,0,
0.5757,-1.06866e-11,890.997,0,
0.5858,-1.06866e-11,892.736,0,
0.5959,-1.06866e-11,894.37,0,
0.606,-1.06866e-11,895.905,0,
0.6161,-1.06866e-11,897.347,0,
0.6262,-1.06866e-11,898.702,0,
0.6363,-1.06866e-11,899.975,0,
0.6464,-1.06866e-11,901.17,0,
0.6565,-1.06866e-11,902.293,0,
0.6666,-1.06866e-11,903.348,0,
0.6767,-1.06866e-11,904.339,0,
0.6868,-1.06866e-11,905.27,0,
0.6969,-1.06866e-11,906.144,0,
0.707,3.35564,934.996,0.14269,
0.7171,15.5912,1040.01,1.2546,
0.7272,16.3252,1058.11,1.93183,
0.7373,14.9625,1057.67,1.96187,
0.7474,13.6469,1053.05,1.87511,
0.7575,12.4086,1048.1,1.77522,
0.7676,10.9494,1045.62,1.68072,
0.7777,9.32099,1045.21,1.5815,
0.7878,7.9258,1043.82,1.48802,
0.7979,6.73149,1041.65,1.40149,
0.808,5.86461,1037.7,1.31991,
0.8181,5.15016,1033.25,1.24337,
0.8282,4.37391,1029.86,1.17337,
0.8383,3.62615,1026.83,1.10834,
0.8484,2.96237,1023.69,1.04716,
0.8585,2.39561,1020.32,0.989231,
0.8686,1.90358,1016.86,0.934528,
0.8787,1.43572,1013.65,0.883636,
0.8888,0.95806,1010.93,0.839826,
0.8989,0.504428,1008.41,0.800011,
0.909,0.131512,1005.65,0.75902,
0.9191,-0.167199,1002.66,0.718972,
0.9292,-0.447025,999.853,0.681683,
0.9393,-0.712749,997.243,0.64712,
0.9494,-0.894979,994.292,0.61107,
0.9595,-1.03129,991.243,0.57514,
0.9696,-1.21991,988.851,0.540576,
0.9797,-1.45631,987.16,0.495261,
0.9898,-1.69913,985.883,0.416853,
0.9999,-1.93108,984.827,0.294839,
1.01,-2.11221,983.981,0.086079,
1.0201,-2.16136,983.283,-0.212751,
1.0302,-2.07313,982.415,-0.306142,
1.0403,-1.90503,981.503,-0.345375,
1.0504,-1.65658,980.638,-0.457834,
1.0605,-1.34959,979.783,-0.59765,
1.0706,-1.05705,978.984,-0.776578,
1.0807,-0.804339,978.243,-0.975852,
1.0908,-0.611687,977.542,-1.15607,
1.1009,-0.46194,976.824,-1.25272,
1.111,-0.33447,976.064,-1.26845,
1.1211,-0.222741,975.282,-1.23559,
1.1312,-0.111578,974.5,-1.15285,
1.1413,-0.020546,973.757,-0.953781,
1.1514,0.0319096,973.187,-0.897845,
1.1615,0.0902909,972.664,-0.86408,
1.1716,0.125944,972.158,-0.830235,
1.1817,0.138825,971.67,-0.792243,
1.1918,0.117492,971.231,-0.749257,
1.2019,0.0805164,970.823,-0.705832,
1.212,-0.0168588,970.489,-0.665456,
1.2221,-0.176744,970.219,-0.622161,
1.2322,-0.384597,969.994,-0.575865,
1.2423,-0.596643,969.765,-0.531449,
1.2524,-0.808374,969.534,-0.495797,
1.2625,-1.0395,969.322,-0.461106,
1.2726,-1.28708,969.139,-0.425445,
1.2827,-1.53593,968.982,-0.390621,
1.2928,-1.7682,968.834,-0.358418,
1.3029,-1.95835,968.632,-0.30325,
1.313,-2.10152,968.358,-0.205228,
1.3231,-2.20776,968.038,-0.0521663,
1.3332,-2.31182,967.751,0.0998497,
1.3433,-2.42739,967.533,0.209905,
1.3534,-2.55796,967.382,0.277816,
1.3635,-2.69325,967.287,0.303594,
1.3736,-2.82516,967.229,0.297709,
1.3837,-2.96292,967.185,0.284094,
1.3938,-3.07473,967.111,0.278539,
1.4039,-3.15457,967.012,0.277088,
1.414,-3.19888,966.884,0.280131,
1.4241,-3.21269,966.733,0.285399,
1.4342,-3.1989,966.561,0.291369,
1.4443,-3.15472,966.363,0.300361,
1.4544,-3.08296,966.14,0.31173,
1.4645,-2.99068,965.897,0.32518,
1.4746,-2.88315,965.641,0.33919,
1.4847,-2.76421,965.374,0.353418,
1.4948,-2.64607,965.115,0.36523,
1.5049,-2.51822,964.855,0.389046,
1.515,-2.37555,964.589,0.424411,
1.5251,-2.23795,964.337,0.455446,
1.5352,-2.10808,964.102,0.478904,
1.5453,-1.98994,963.889,0.490854,
1.5554,-1.88241,963.696,0.493092,
1.5655,-1.78589,963.525,0.487387,
1.5756,-1.70068,963.373,0.478867,
1.5857,-1.62659,963.24,0.470159,
1.5958,-1.56075,963.121,0.461807,
1.6059,-1.50002,963.01,0.454187,
1.616,-1.44338,962.904,0.447836,
1.6261,-1.39133,962.804,0.442867,
1.6362,-1.3472,962.716,0.438461,
1.6463,-1.30795,962.633,0.435099,
1.6564,-1.27696,962.562,0.432916,
1.6665,-1.25276,962.501,0.431132,
1.6766,-1.23307,962.446,0.430278,
1.6867,-1.22046,962.404,0.428897,
1.6968,-1.21064,962.367,0.428384,
1.7069,-1.20602,962.337,0.427772,
1.717,-1.20412,962.31,0.427101,
1.7271,-1.20487,962.286,0.427358,
1.7372,-1.21182,962.272,0.426018,
1.7473,-1.21697,962.255,0.425504,
1.7574,-1.22555,962.244,0.424894,
1.7675,-1.23622,962.241,0.423001,
1.7776,-1.2458,962.237,0.422005,
1.7877,-1.25875,962.241,0.419689,
1.7978,-1.26901,962.242,0.418282,
1.8079,-1.28054,962.246,0.416415,
1.818,-1.28998,962.248,0.414505,
1.8281,-1.2986,962.248,0.412947,
1.8382,-1.30738,962.249,0.410423,
1.8483,-1.31407,962.247,0.408976,
1.8584,-1.3218,962.248,0.406842,
1.8685,-1.32739,962.248,0.405027,
1.8786,-1.3337,962.251,0.4029,
1.8887,-1.33918,962.254,0.40091,
1.8988,-1.34436,962.258,0.399071,
1.9089,-1.34852,962.26,0.396843,
1.919,-1.35047,962.259,0.39538,
1.9291,-1.35229,962.259,0.3933,
1.9392,-1.35214,962.255,0.391761,
1.9493,-1.35269,962.251,0.390205,
1.9594,-1.35283,962.247,0.388717,
1.9695,-1.35277,962.243,0.387521,
1.9796,-1.35365,962.243,0.385974,
1.9897,-1.35426,962.244,0.384724,
1.9998,-1.35541,962.247,0.3833,
2.0099,-1.3709,961.803,0.302786,
2.02,-1.30831,959.703,0.263817,
2.0301,-1.23186,957.341,0.244977,
2.0402,-1.1576,955.068,0.229736,
2.0503,-1.09666,952.999,0.217694,
2.0604,-1.15335,952.096,0.215531,
2.0705,-1.10495,950.363,0.203407,
2.0806,-1.04096,948.536,0.191209,
2.0907,-0.97829,946.793,0.17964,
2.1008,-0.919061,945.152,0.168756,
2.1109,-0.863373,943.609,0.158529,
2.121,-0.811052,942.161,0.148922,
2.1311,-0.761901,940.799,0.139897,
2.1412,-0.715729,939.521,0.131419,
2.1513,-0.672355,938.32,0.123455,
2.1614,-0.631609,937.191,0.115974,
2.1715,-0.593333,936.131,0.108946,
2.1816,-0.557376,935.135,0.102343,
2.1917,-0.453913,934.734,0.101181,
2.2018,-0.361045,934.309,0.0951011,
2.2119,-0.267727,934.027,0.0876127,
2.222,-0.182156,933.747,0.0807133,
2.2321,-0.108331,933.427,0.0743647,
2.2422,-0.0551377,932.975,0.068947,
2.2523,-0.0213759,932.367,0.0643666,
2.2624,-0.0060166,931.65,0.0603355,
2.2725,-0.0034746,930.933,0.0566596,
2.2826,-0.00296279,930.253,0.0532232,
2.2927,-0.00274156,929.614,0.0499974,
2.3028,-0.00256965,929.013,0.0469675,
2.3129,-0.00241313,928.448,0.0441212,
2.323,-0.00226678,927.918,0.0414474,
2.3331,-0.00212939,927.42,0.0389356,
2.3432,-0.00200035,926.952,0.0365761,
2.3533,-0.00187912,926.513,0.0343595,
2.3634,-0.00176525,926.1,0.0322773,
2.3735,-0.00165827,925.712,0.0303212,
2.3836,-0.00155778,925.348,0.0284837,
2.3937,-0.00146337,925.006,0.0267576,
2.4038,-0.00137469,924.684,0.025136,
2.4139,-0.00129138,924.382,0.0236127,
2.424,-0.00121312,924.098,0.0221818,
2.4341,-0.00113961,923.832,0.0208375,
2.4442,-0.00107054,923.581,0.0195747,
2.4543,-0.00100567,923.346,0.0183885,
2.4644,-0.000944723,923.125,0.0172741,
2.4745,-0.000887471,922.918,0.0162273,
2.4846,-0.000833689,922.723,0.0152439,
2.4947,-0.000783167,922.539,0.0143201,
2.5048,-0.000735706,922.367,0.0134523,
2.5149,-0.000691121,922.206,0.012637,
2.525,-0.000649238,922.054,0.0118712,
2.5351,-0.000609893,921.911,0.0111518,
2.5452,-0.000572933,921.777,0.010476,
2.5553,-0.000538212,921.651,0.00984113,
2.5654,-0.000505596,921.533,0.00924474,
2.5755,-0.000474956,921.422,0.0086845,
2.5856,-0.000446173,921.318,0.00815821,
2.5957,-0.000419134,921.22,0.00766381,
2.6058,-0.000393734,921.128,0.00719937,
2.6159,-0.000369873,921.041,0.00676308,
2.626,-0.000347459,920.96,0.00635323,
2.6361,-0.000326402,920.883,0.00596821,
2.6462,-0.000306622,920.812,0.00560653,
2.6563,-0.00028804,920.744,0.00526677,
2.6664,-0.000270584,920.681,0.00494759,
2.6765,-0.000254187,920.622,0.00464776,
2.6866,-0.000238782,920.566,0.0043661,
2.6967,-0.000224312,920.513,0.00410151,
2.7068,-0.000210718,920.464,0.00385295,
2.7169,-0.000197948,920.418,0.00361946,
2.727,-0.000185953,920.374,0.00340011,
2.7371,-0.000174684,920.333,0.00319406,
2.7472,-0.000164098,920.295,0.0030005,
2.7573,-0.000154153,920.259,0.00281866,
2.7674,-0.000144811,920.225,0.00264785,
2.7775,-0.000136035,920.193,0.00248739,
2.7876,-0.000127791,920.163,0.00233665,
2.7977,-0.000120047,920.135,0.00219504,
2.8078,-0.000112772,920.109,0.00206202,
2.8179,-0.000105938,920.084,0.00193706,
2.828,-9.95179e-05,920.061,0.00181967,
2.8381,-9.3487e-05,920.039,0.0017094,
2.8482,-8.78215e-05,920.018,0.0016058,
2.8583,-8.24994e-05,919.999,0.00150849,
2.8684,-7.74998e-05,919.981,0.00141707,
2.8785,-7.28032e-05,919.964,0.0013312,
2.8886,-6.83913e-05,919.948,0.00125052,
2.8987,-6.42466e-05,919.933,0.00117474,
2.9088,-6.03532e-05,919.919,0.00110355,
2.9189,-5.66958e-05,919.906,0.00103667,
2.929,-5.32599e-05,919.893,0.000973849,
2.9391,-5.00323e-05,919.881,0.000914833,
2.9492,-4.70002e-05,919.87,0.000859392,
2.9593,-4.4152e-05,919.86,0.000807312,
2.9694,-4.14763e-05,919.85,0.000758388,
2.9795,-3.89628e-05,919.841,0.000712428,
2.9896,-3.66015e-05,919.833,0.000669254,
2.9997,-3.43834e-05,919.825,0.000628697,
3.0098,-3.22998e-05,919.817,0.000590597,
3.0199,-3.03424e-05,919.81,0.000554806,
3.03,-2.85036e-05,919.803,0.000521184,
3.0401,-2.67762e-05,919.797,0.000489599,
3.0502,-2.51536e-05,919.791,0.000459929,
3.0603,-2.36292e-05,919.786,0.000432057,
3.0704,-2.21973e-05,919.78,0.000405873,
3.0805,-2.08521e-05,919.776,0.000381277,
3.0906,-1.95884e-05,919.771,0.000358171,
3.1007,-1.84014e-05,919.767,0.000336465,
3.1108,-1.72862e-05,919.763,0.000316075,
